Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-21 14:45:52,2018-08-21 14:46:35,"42,584s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-21 14:45:53,2018-08-21 14:46:01,"8,549s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:45:53,2018-08-21 14:45:56,"3,007s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:45:56,2018-08-21 14:45:59,"2,355s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:45:59,2018-08-21 14:46:01,"2,203s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:46:01,2018-08-21 14:46:01,"0,242s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:01,2018-08-21 14:46:01,"0,216s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-21 14:46:01,2018-08-21 14:46:07,"6,161s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:46:02,2018-08-21 14:46:03,"1,130s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:46:03,2018-08-21 14:46:05,"2,299s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:05,2018-08-21 14:46:06,"1,015s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:06,2018-08-21 14:46:06,"0,235s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:46:06,2018-08-21 14:46:06,"0,137s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:06,2018-08-21 14:46:07,"1,058s",FAILED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-21 14:46:07,2018-08-21 14:46:13,"5,648s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:46:08,2018-08-21 14:46:09,"1,206s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:46:09,2018-08-21 14:46:11,"2,255s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:11,2018-08-21 14:46:13,"2,058s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-21 14:46:13,2018-08-21 14:46:23,"9,528s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:46:13,2018-08-21 14:46:15,"1,202s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:46:15,2018-08-21 14:46:17,"2,230s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:17,2018-08-21 14:46:19,"1,809s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:19,2018-08-21 14:46:20,"0,989s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:20,2018-08-21 14:46:21,"1,030s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:21,2018-08-21 14:46:23,"2,068s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-21 14:46:23,2018-08-21 14:46:29,"6,302s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:46:23,2018-08-21 14:46:24,"1,134s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:46:24,2018-08-21 14:46:26,"2,257s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 14:46:26,2018-08-21 14:46:27,"0,403s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-21 14:46:27,2018-08-21 14:46:29,"2,313s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-21 14:46:29,2018-08-21 14:46:35,"5,586s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:46:29,2018-08-21 14:46:30,"1,307s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:46:30,2018-08-21 14:46:33,"2,320s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:46:33,2018-08-21 14:46:35,"1,797s",PASSED
